Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,30823.4825,32222.65817,32986.54188,34336.55396,35984.82942,35780.72283,35125.92711,36479.94184,36105.26018,35495.24857,37241.0305,38123.34238,37309.78795,37353.55868,39713.84667,39166.13379,39146.90934,39866.7156,40096.78145,34978.00914,33639.39618,34446.85689,33815.10934,35720.69811,35467.23576,36490.52446,37043.69815,38865.1882,40706.74951,40780.51657,33155.24309,38866.33328
Africa Eastern and Southern,AFE,3036.33272,2954.698144,2823.057859,2737.031148,2714.501984,2763.565251,2837.699058,2885.496976,2867.097462,2872.697273,2896.170594,2927.090133,2964.981839,2984.885215,3074.455911,3184.171207,3309.18226,3439.42084,3500.345632,3429.780047,3513.493485,3558.462483,3543.82903,3593.39702,3643.014398,3658.718776,3654.773597,3659.361146,3661.769172,3648.708762,3455.516252,3517.766966
Afghanistan,AFG,,,,,,,,,,,,,1280.463171,1292.333437,1260.060581,1352.320627,1366.993146,1528.344578,1556.844452,1823.742614,2026.163818,1961.096317,2122.830759,2165.340915,2144.449634,2108.714173,2101.422187,2096.093111,2060.698973,2079.921861,1968.341002,1516.305667
Africa Western and Central,AFW,2784.035243,2746.636946,2739.716114,2640.657953,2571.005965,2557.357361,2607.641636,2649.475544,2671.493332,2644.524414,2666.631785,2729.48729,2903.451454,2978.439433,3123.990106,3213.464535,3292.661836,3375.241593,3487.092369,3594.93373,3732.626445,3807.251965,3897.075331,4021.244799,4141.765663,4143.120964,4050.295948,4045.303263,4063.464359,4092.028643,3957.755694,4013.718352
Angola,AGO,5768.564612,5635.166453,5136.550379,3783.114367,3713.103256,4131.882725,4537.859119,4708.279298,4770.142609,4719.449116,4708.360977,4747.827745,5219.633976,5195.30731,5565.58084,6178.327112,6648.758481,7309.319864,7832.889809,7613.781167,7691.131265,7664.439975,8012.100845,8100.385154,8183.678371,7967.103871,7488.138837,7216.061373,6878.593482,6602.423657,6032.274914,5908.570045
Albania,ALB,4827.905432,3497.005391,3265.414418,3599.464659,3922.32806,4472.4148,4909.825012,4401.112889,4819.944112,5475.845438,5893.653674,6442.611983,6755.109288,7155.296252,7581.506453,8041.543352,8570.107803,9151.78064,9913.950854,10315.77715,10751.42106,11054.78773,11229.99205,11363.31837,11588.92434,11880.59753,12294.07716,12773.2684,13319.49495,13655.66485,13256.12454,14518.90655
Andorra,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,9530.502752,9569.215438,9789.405444,9783.746917,9796.244688,9821.027905,10031.42322,10230.81142,10516.82467,10481.4753,10902.05226,10844.39089,10667.57809,10952.03785,11631.3972,11988.08064,12365.76486,12589.30539,12940.6772,12668.38131,12935.19657,13064.69884,13520.22932,13563.2601,13673.8568,13923.92867,14134.9327,14052.54691,14125.79136,14042.27123,13192.85214,13469.76057
United Arab Emirates,ARE,105893.6261,101048.6962,99106.79164,95524.45692,97475.98085,99510.35068,99602.61742,100956.7065,95185.30582,92368.81326,96835.88883,93106.20213,90661.72515,93989.95985,98342.23663,96188.12801,92323.56278,79468.99547,68909.61026,57094.78615,54664.61174,57815.17026,59949.24458,62354.8232,64334.09155,68076.63589,71244.58581,71182.37071,71550.55433,71782.15384,67668.28664,69733.79378
Argentina,ARG,14136.5254,15209.48763,16190.51071,17282.96499,18046.89292,17303.92385,18031.54819,19261.89862,19773.17637,18884.94311,18524.80961,17514.5041,15439.74463,16631.57398,17950.15128,19338.14619,20679.2431,22316.25553,22992.39018,21413.28312,23521.27018,24647.62927,24118.86752,24424.13645,23550.09906,23933.88661,23189.52745,23597.11775,22747.24166,22071.7481,19685.21587,21527.19614
Armenia,ARM,5153.298211,4473.519088,2634.963124,2484.552329,2683.637533,2912.781057,3105.952781,3236.060508,3505.368402,3660.03412,3921.857522,4346.907506,4965.224359,5698.778477,6334.856153,7259.203892,8273.7857,9476.471494,10201.55945,8819.677459,9068.787651,9551.158131,10289.97563,10677.30365,11105.5325,11506.03899,11580.38364,12509.63961,13231.43107,14317.55287,13357.69706,14193.11683
American Samoa,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,15264.62961,15521.8748,15452.78245,15978.30868,16730.51828,15690.93017,16391.71851,16943.8954,17414.44798,17754.54468,18545.92,17433.01783,17388.54379,18237.26684,19077.41053,20076.43902,22340.79211,24088.12208,23727.37991,20571.90697,18702.09038,18117.18604,18526.39075,18243.81449,18779.48071,19345.01754,20267.91747,20777.87403,22085.26249,23035.65798,18275.68968,19124.43016
Australia,AUS,31006.10023,30496.12645,30285.85382,31232.58548,32164.65884,33044.8445,33905.26294,34852.75174,36099.02291,37475.97876,38494.88668,38779.6,39872.14753,40642.56228,41905.84966,42704.44247,43286.72354,44109.66937,44777.27372,44684.40149,44965.39336,45405.36537,46360.60712,46744.62388,47240.27446,47567.68066,48109.20272,48400.24579,49052.81795,49379.09333,48747.85171,49774.3407
Austria,AUT,37494.56041,38399.67402,38774.49026,38658.64978,39435.21002,40425.39372,41319.375,42136.66228,43597.89007,45060.61875,46469.86106,46878.91624,47419.27841,47633.114,48633.27182,49387.02786,50840.69446,52565.07397,53166.0542,51030.72468,51843.42833,53179.14746,53297.44479,52997.75382,52932.90011,52873.85865,53345.74153,54172.98679,55217.28653,55806.43825,51988.41583,54121.14554
Azerbaijan,AZE,7616.910275,7463.62886,5690.180918,4309.921462,3414.511205,2976.995221,2985.337175,3128.164135,3408.475381,3628.716883,3998.520483,4360.459441,4736.564376,5180.686458,5610.763137,7106.597907,9453.94186,11684.19154,12672.37622,13565.85509,14082.23815,13913.83669,14027.46879,14651.69397,14867.94373,14852.61171,14232.19262,14121.40694,14209.59317,14442.04087,13726.76966,14431.66105
Burundi,BDI,1175.155086,1209.388158,1190.067435,1153.541309,1103.167298,956.4909761,880.3094121,867.284265,891.6998437,862.0066804,837.3484115,833.6708787,846.7472952,810.5523352,818.7460633,796.1087131,809.6960107,807.4474806,812.5921698,801.8034274,804.3549408,807.6649576,814.3207708,824.6105226,831.2948386,781.5792873,764.3366022,750.7876163,740.4482225,729.6584626,711.3552634,705.0304094
Belgium,BEL,35506.92651,36023.68428,36426.99315,35935.95739,36981.44895,37784.14989,38208.71867,39562.37298,40252.46891,41583.09739,43024.13991,43347.88921,43890.59811,44160.91143,45540.46691,46342.18661,47212.57777,48590.40054,48423.51548,47064.79002,47972.55884,48154.87115,48210.92466,48204.5857,48748.62059,49456.39858,49829.92739,50442.27054,51113.48174,51977.18533,48978.93425,51739.53793
Benin,BEN,2109.559335,2132.396816,2129.201214,2155.366616,2118.278694,2200.593784,2237.526324,2297.994303,2317.481295,2367.761224,2431.445652,2485.116531,2523.609973,2532.998428,2566.345657,2528.676481,2549.194419,2625.212755,2673.769349,2656.431642,2634.134728,2633.93906,2681.351661,2792.0273,2883.899098,2849.820499,2859.391685,2933.837384,3040.16752,3156.438957,3186.478031,3321.552174
Burkina Faso,BFA,981.8447619,1044.17392,1021.144516,1030.559204,1018.122209,1049.083717,1135.25666,1176.383903,1228.122869,1280.92272,1266.744817,1310.072212,1325.70343,1385.455048,1402.784372,1477.039822,1521.154454,1536.385814,1578.345826,1578.148939,1661.872021,1720.082522,1776.390997,1823.594952,1846.645127,1862.854712,1916.756382,1978.155012,2051.218431,2110.062311,2093.733647,2179.789039
Bangladesh,BGD,1730.368945,1756.332624,1818.150765,1867.780938,1903.580832,1964.061126,2017.213527,2070.437446,2137.150043,2194.526476,2267.075348,2337.364583,2382.281471,2451.990232,2537.950714,2663.096257,2806.592691,2973.281325,3124.226797,3253.091337,3395.364787,3571.058647,3756.931933,3932.70833,4119.424639,4337.385902,4589.093532,4830.776083,5124.498755,5467.207948,5591.373989,5911.012996
Bulgaria,BGR,12509.96194,11567.45279,10842.02731,10767.08574,11000.12412,11365.3719,12018.80933,10385.34213,10851.02339,9995.846356,10506.13982,11127.17448,12039.07054,12770.3313,13704.7881,14782.73843,15908.71737,17092.56263,18268.04001,17770.70807,18163.87274,18664.83449,18914.98379,18914.52541,19206.26077,19991.81751,20744.52315,21473.80481,22210.12238,23270.22397,22483.59715,24398.13157
Bahrain,BHR,36997.7356,39769.31181,40971.7265,44690.41482,43113.48124,43369.15357,43737.18814,43716.02075,44458.43837,45053.74612,46154.02954,46084.92721,46478.20542,47504.55731,47455.23999,46821.02463,46303.48701,46792.17426,46588.6421,44972.74558,45600.06624,46564.71088,47793.53097,48915.52994,49117.98845,48453.72585,48486.30275,48929.44701,48937.66036,49768.97621,47847.83817,49387.41834
"Bahamas, The",BHS,36041.03822,33860.9857,31882.47117,31293.52666,31638.50844,32411.25718,33184.27654,34867.0113,32744.92447,36179.88708,37131.30308,37572.89375,38083.53317,37103.39686,36929.17371,37665.3877,38081.24648,38091.90531,36680.82694,34646.59074,34688.0934,34468.88625,35150.56293,33826.34151,34143.03062,34170.23232,33596.63622,34357.27066,34735.12552,35161.83047,26659.23803,30210.16126
Bosnia and Herzegovina,BIH,,,,,1730.288379,2096.766193,3802.593797,4933.543126,5609.887488,6092.245212,6826.658217,6966.117533,7310.274288,7619.566023,8181.499529,8601.170874,9147.743533,9804.852179,10507.67308,10364.50297,10637.08634,10934.08883,11047.18441,11484.35421,11768.10415,12292.54505,12837.59824,13402.43397,14066.84438,14634.73876,14358.98698,15666.53984
Belarus,BLR,8895.172703,8784.377365,7923.650356,7305.306909,6458.214559,5805.363156,5988.03971,6698.457879,7293.908216,7575.918326,8053.173638,8477.084011,8961.64112,9660.193688,10839.95627,11940.1866,13214.87158,14417.35353,15942.89768,16014.11553,17300.70368,18274.02072,18611.45421,18805.43087,19119.34615,18362.74559,17883.1265,18356.10077,18974.69981,19279.20925,19225.57383,19751.20391
Belize,BLZ,6396.500719,6981.00612,7663.648428,7979.022148,7823.965778,7675.217516,7521.864182,7530.272007,7554.925725,7954.444939,8702.082651,8857.370138,9023.401007,9566.060227,9710.014057,9631.591611,9781.776711,9815.054748,9397.151897,9101.549235,8988.865136,8776.863316,8912.105754,9109.572147,9276.317793,9387.914542,9208.113943,8873.754025,8798.538573,9028.551485,7703.118041,8762.622683
Bermuda,BMU,65961.40628,63958.89625,64385.40741,65967.85001,65904.72042,68313.38185,69643.40752,72403.88044,74677.09242,76772.32385,83181.52634,88231.78386,86364.15374,88727.31127,90195.81156,91114.07699,95615.3607,98257.9927,95855.80069,89961.98274,88399.91595,85829.37826,80982.36776,80503.65029,77361.10488,77842.7539,78149.35254,81834.95587,81423.40845,81681.72667,76117.80474,80271.1326
Bolivia,BOL,4437.866827,4575.706747,4556.993451,4657.030396,4779.839225,4909.178255,5028.444094,5181.4165,5343.957408,5270.027539,5305.619257,5300.314335,5337.765849,5387.58177,5515.655815,5660.574815,5829.371329,5989.689923,6248.933953,6349.007909,6499.818153,6724.300668,6952.738371,7305.227982,7581.598422,7825.766752,8034.172726,8244.933445,8466.293187,8528.748802,7679.933187,8052.177435
Brazil,BRA,10401.84244,10328.95712,10103.78794,10431.40966,10867.75092,11151.19164,11224.39946,11432.65057,11304.097,11196.83853,11529.48662,11536.36383,11739.43184,11733.4112,12268.66383,12520.85499,12877.44418,13518.84778,14067.94581,13916.96323,14824.74115,15271.46935,15425.35293,15751.48445,15695.6431,15011.57719,14402.49401,14477.86177,14619.59113,14685.12789,14021.95762,14592.35296
Barbados,BRB,14097.39555,13519.72141,12710.41933,12772.78719,12993.92352,13225.75439,13726.03232,14353.12012,14864.66606,14884.60184,15517.94083,15109.76335,15167.12679,15436.60241,15595.85299,16154.2612,17081.63284,17371.07252,17405.89355,16462.70674,16019.50743,15864.57232,15755.26697,15489.76118,15441.21976,15789.45122,16156.51756,16198.96216,16003.85743,15954.80266,13805.77754,13754.80242
Brunei Darussalam,BRN,70358.72409,70439.0532,71781.1029,70154.42473,70570.96451,71966.09741,72320.98798,69660.18601,67770.17249,68366.66318,68865.7873,69338.92072,70631.87368,71331.75273,70415.42415,69482.3838,71352.88579,70342.4093,67934.06408,65753.4057,66484.24154,68037.52298,67792.75463,65534.68316,63131.18625,62170.08702,59980.98875,60173.05113,59650.23153,61424.36431,61603.5508,60127.02369
Bhutan,BTN,2737.993053,2682.309375,2917.579509,3118.963228,3270.74874,3460.461192,3585.362962,3713.29472,3860.347202,4067.465158,4087.830672,4311.446837,4663.127628,4904.510978,5076.315362,5336.77622,5626.054704,6577.431768,6811.933149,7188.859193,7958.226861,8499.354296,8837.576373,8929.046204,9349.044387,9877.247283,10587.57038,10986.88814,11233.78054,11797.2842,10547.05151,10907.85671
Botswana,BWA,9164.872072,9569.460418,9570.548957,9476.660738,9550.830775,9956.808322,10280.62663,10880.85265,10689.21679,11474.06472,11462.07915,11262.8989,11725.55962,12054.87438,12166.46704,12494.21685,13287.22541,13783.37942,13945.5986,11729.56521,12653.37065,13250.25113,12975.94786,14144.51812,14665.27232,13682.70418,14373.51925,14656.77299,14962.08111,15117.995,13545.67363,14840.91333
Central African Republic,CAF,1200.61339,1157.381663,1049.119415,1019.441006,1036.283901,1080.770061,1010.743889,1035.107458,1054.312973,1062.298258,1007.247834,1028.791408,1042.708645,962.8648368,998.6890997,985.324816,1011.77751,1038.750133,1038.335286,1103.463766,1130.895708,1160.414741,1208.51577,764.0515002,765.259554,795.0370187,818.3959953,839.6000095,854.6474913,861.7667888,847.7650124,837.5046857
Canada,CAN,,,,,,,,36910.47786,38031.62476,39671.38465,41338.64702,41623.95034,42416.40875,42793.07925,43704.41391,44680.79649,45396.83966,45888.47633,45851.63025,44003.61704,44861.52396,45822.59643,46126.51389,46704.76224,47564.60911,47522.14067,47457.58535,48317.17458,48962.48151,49171.51109,46064.25396,47892.94713
Central Europe and the Baltics,CEB,13980.60316,12633.05941,12375.2349,12570.91817,13082.90858,13845.96888,14506.68611,14790.33053,15193.9385,15482.92352,16183.11226,16810.03324,17542.6568,18304.78523,19457.37038,20480.73091,21886.74239,23374.74359,24440.87539,23658.6561,24033.04973,24954.10649,25233.49287,25452.95107,26334.92159,27449.73281,28280.91187,29827.61917,31379.24119,32671.2438,31634.66013,33834.07633
Switzerland,CHE,56982.46097,55759.33819,55123.83838,54555.27878,54809.3353,54706.10151,54721.71498,55824.51249,57345.33111,58021.43597,59980.33091,60541.11681,60040.87741,59577.76221,60768.20457,62040.43957,64163.80504,66083.47189,67081.2998,64726.37128,66133.28839,66587.84885,66661.49275,67080.36736,67824.08309,68159.22211,68813.64039,69103.57026,70558.56302,70857.08908,68670.23942,71032.8412
Channel Islands,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,9701.823791,10290.03966,11256.20948,11812.64938,12221.5077,13122.94634,13825.1562,14652.77519,15074.58011,14855.35718,15415.75429,15725.60116,16053.65461,16636.65375,17571.0248,18415.75499,19339.48762,20140.52965,20695.56256,20255.09878,21225.10386,22323.72308,23467.97873,24011.59101,24197.18328,24464.74566,24599.37463,24546.91242,25071.99007,24816.61108,23017.68936,25449.13065
China,CHN,1423.896348,1534.705272,1731.657215,1949.534268,2178.924057,2391.477116,2601.363426,2812.711135,3004.427342,3206.730026,3451.679231,3712.338132,4024.355697,4400.825183,4817.211845,5334.646639,5979.781712,6795.174012,7412.874363,8069.354638,8884.588031,9680.0977,10370.72657,11101.93893,11851.40422,12612.35165,13399.13732,14243.53261,15133.99562,15977.76383,16296.7789,17602.69606
Cote d'Ivoire,CIV,4276.705715,4119.784354,3959.561663,3810.04363,3705.75044,3831.715603,3985.402268,4220.485326,4255.175425,4176.597139,4052.981938,3863.166758,3664.519428,3407.978833,3435.280275,3391.711816,3410.997912,3374.847623,3461.711746,3511.292506,3673.181282,3404.524602,3589.421714,3894.515489,4162.024358,4347.777713,4541.194908,4750.936451,4949.614719,5126.634115,5098.559833,5325.030482
Cameroon,CMR,3483.186862,3251.755036,3059.792361,2736.282614,2709.080045,2710.938075,2749.520034,2798.577358,2854.370093,2905.131157,2937.991873,2985.577906,3036.767702,3116.15282,3245.495893,3228.361161,3261.451655,3309.282295,3308.319908,3298.407452,3298.624579,3314.898234,3371.975533,3442.200627,3530.283191,3614.755716,3667.322675,3691.094724,3732.501248,3756.509562,3665.510581,3700.464289
"Congo, Dem. Rep.",COD,1750.169739,1550.763705,1346.747222,1128.593145,1034.123387,998.6883139,969.808663,900.9677964,865.606612,805.2778814,728.2071969,691.7091452,690.6596075,708.0287711,733.541897,754.6644433,769.8871446,792.1908849,815.011857,811.9273452,841.8562872,870.0738056,900.9789904,944.6402475,999.0721335,1032.571865,1021.327198,1023.539833,1048.246447,1059.892111,1044.071214,1073.643271
"Congo, Rep.",COG,5007.319245,4986.699205,4978.350838,4790.461157,4400.020297,4453.430838,4522.008454,4402.408095,4470.347075,4240.155997,4390.563057,4389.353712,4484.280585,4397.330559,4398.203778,4571.793117,4755.030215,4280.024669,4401.664532,4720.414675,4977.973115,4925.376903,5267.049617,5105.169838,5319.387249,5009.432267,4363.753925,4073.926085,3786.412,3695.061694,3384.654335,3234.392972
Colombia,COL,8434.959336,8430.222989,8598.992021,8885.186845,9220.501993,9518.260141,9538.272551,9691.028324,9578.656012,9023.621233,9138.318915,9146.404852,9232.627395,9453.328556,9816.277588,10150.70792,10692.72765,11272.57798,11507.52583,11507.71711,11890.20308,12578.01563,12934.96575,13465.07504,13938.23152,14215.68825,14358.16822,14334.91461,14426.43438,14616.13512,13387.70116,14648.59218
Comoros,COM,2922.712252,2695.256074,2856.008564,2876.283755,2666.045372,2703.584351,2611.821747,2659.273978,2636.344308,2633.565756,2863.15185,2871.196853,2878.534359,2881.960707,2881.566744,2905.689183,2923.532301,2888.446634,2942.990846,2976.779454,3025.517384,3084.826585,3115.238033,3185.319697,3183.157031,3150.877624,3185.629664,3240.17917,3294.831972,3290.650527,3222.374089,3228.526858
Cabo Verde,CPV,1620.984219,1607.76744,1740.535717,1844.764345,2144.413946,2391.260383,2601.7137,2826.222935,3110.930426,3387.622422,3798.67986,3819.220497,3957.984605,4064.379859,4419.052609,4664.659256,4975.918396,5664.389197,5974.775071,5838.215392,5860.498302,6020.223151,6013.055074,5993.118996,5961.996228,5955.606728,6166.313972,6320.342096,6534.460409,6835.078829,5768.538568,6114.133287
Costa Rica,CRI,9810.551307,9781.45993,10416.10885,10882.04915,11100.70901,11290.95958,11182.47935,11532.46272,12092.47581,12343.71085,12570.69609,12771.95077,12986.00068,13333.21726,13713.00835,14049.9094,14864.78142,15861.87458,16385.001,16024.03006,16667.01652,17186.44844,17809.94056,18044.94501,18480.65175,18956.19193,19553.59886,20168.22048,20503.2768,20818.06168,19824.34684,21199.28134
Caribbean small states,CSS,10277.02162,10433.21574,10645.15475,10910.18422,11115.904,11326.84064,11586.11802,11907.00852,11951.15384,12391.97419,12729.67847,12923.88875,13304.47144,14007.27005,14488.07697,14893.62396,15812.13545,16266.31342,16393.41113,15767.64343,15905.22112,16025.29636,16431.14489,16610.29683,16852.35738,16764.09539,16341.10653,16175.34053,16257.02292,16358.70233,15049.1987,15768.87941
Cuba,CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,,,,,,,,,,,28613.90007,29474.59073,29555.43758,29035.65151,28598.56618,28067.07899,27802.9785,27932.58871,28186.87088,27855.14058,27527.4893,27305.37387,27061.85357,26539.61024,25869.78189,25604.92944,25113.69509,24599.93783,24193.61298,23659.23473,19607.43188,20783.08561
Cayman Islands,CYM,,,,,,,,,,,,,,,,,84778.38463,84870.01221,82125.11489,74068.88086,70095.89581,69103.24371,68270.03664,67537.54884,67762.36084,68135.46407,68824.42604,69534.77191,71046.02185,72402.83665,67093.4024,67500.1043
Cyprus,CYP,25237.11523,24774.07813,26391.28906,25941.94531,26910.15039,28636.58203,28535.66992,28877.02148,30268.24219,31427.39453,32949.78906,33884.94531,34745.98438,35226.73438,36505.75,37730.06641,38854.91406,39975.53125,40405.89453,38542.91797,38405.41016,37593.92969,35749.05078,33471.80469,33241.19141,34573.97266,36678.09766,38421.96875,40099.83594,41746.91797,39471.58203,41701.70313
Czechia,CZE,23585.18149,20895.87976,20768.78817,20760.05425,21356.3128,22758.59681,23756.97839,23659.32079,23597.30618,23948.38503,24976.50632,25833.41467,26289.62614,27239.55944,28542.25482,30384.44665,32352.81297,33956.24598,34580.44335,32782.61235,33483.13759,34002.18978,33688.09983,33661.46842,34386.70491,36168.41856,37014.95929,38824.88792,39941.28535,40989.72662,38639.97952,40740.99398
Germany,DEU,36699.4817,38294.15494,38734.93841,38105.2306,38881.56912,39366.08864,39568.60247,40218.84688,41022.61463,41769.81203,42928.18134,43576.63653,43417.308,43089.47382,43605.27867,43949.28818,45678.08192,47100.6097,47643.22274,45044.48639,46999.23997,49757.92416,49872.44749,49954.17375,50845.527,51159.29746,51879.67259,53071.45557,53431.39287,53874.31665,51840.32969,53179.6544
Djibouti,DJI,,,,,,,,,,,,,,,,,,,,,,,,3664.268036,3854.269956,4073.622455,4291.297376,4451.683846,4589.378326,4768.113005,4753.887886,4913.256441
Dominica,DMA,7855.821042,8000.850604,8166.646892,8336.286612,8335.666251,8587.936522,8859.004087,9063.767648,9425.365624,9491.783456,9763.941226,9785.339961,9493.427412,10070.00429,10357.23355,10409.98209,10884.25314,11570.17241,12392.82974,12246.99409,12335.10993,12309.86222,12153.68773,12044.22187,12516.38405,12063.89568,12385.26909,11511.60642,11849.30154,12395.42047,10255.76098,10878.03698
Denmark,DNK,39027.97874,39469.32281,40108.89195,39979.75738,41969.68871,43015.67751,44013.38559,45260.13712,46096.36972,47298.53735,48907.0114,49133.2231,49204.89901,49262.64497,50446.5416,51483.27379,53322.289,53569.02802,52982.53174,50114.05005,50825.41229,51293.20618,51216.30941,51479.26645,52048.33549,52892.64603,54185.00848,55356.68078,56178.77463,56813.96416,55518.5971,57962.65409
Dominican Republic,DOM,6207.112113,6137.104479,6688.870434,7040.486,7085.282217,7349.36349,7650.113371,8189.045838,8599.564743,8970.394238,9246.309416,9333.570488,9613.331698,9351.323951,9460.912911,10215.49937,11009.27507,11677.25413,11899.22765,11856.04742,12677.01756,12905.28899,13087.94899,13555.51136,14334.73386,15145.46946,15967.20228,16524.53384,17484.12176,18171.06096,16768.4261,18626.07868
Algeria,DZA,8828.874473,8517.376962,8471.527605,8109.883559,7869.270272,8013.123442,8195.86048,8147.878198,8435.035658,8584.071496,8786.19035,8926.110134,9299.682134,9835.161709,10114.72556,10566.37284,10592.24711,10775.53211,10847.17663,10824.57636,11007.74661,11113.96889,11270.70105,11360.63761,11561.2598,11751.63412,11888.32297,11809.48303,11725.87774,11627.27992,10844.77076,11039.80526
East Asia & Pacific (excluding high income),EAP,2191.941063,2322.874014,2520.700742,2742.319786,2979.692249,3221.046579,3458.62134,3641.453717,3623.529527,3791.219557,4025.903623,4243.665926,4524.404722,4863.825584,5240.628666,5681.497744,6215.210015,6882.7381,7384.74012,7864.025436,8550.18907,9178.83099,9775.427505,10375.74777,10984.85664,11608.43105,12263.12968,12968.75984,13709.75489,14408.7382,14457.50917,15378.34773
Early-demographic dividend,EAR,4500.822843,4591.99239,4677.177169,4733.824642,4801.291187,4858.011533,5045.536787,5169.268053,5174.029763,5212.970965,5345.243211,5331.356429,5363.592511,5576.784544,5832.806582,6087.854317,6358.458854,6632.02056,6762.690975,6775.877254,7111.452748,7355.360248,7579.739648,7805.716333,8055.930958,8344.517113,8653.274535,8957.86274,9219.401896,9348.171875,8863.437923,9358.508625
East Asia & Pacific,EAS,5160.148431,5363.442775,5564.922627,5775.165474,6047.289729,6354.646306,6668.025805,6882.374443,6792.567388,6996.592254,7328.934945,7529.679528,7833.349789,8196.980058,8650.995211,9136.929935,9707.260831,10414.52809,10849.16477,11123.60184,11935.66464,12551.73661,13146.5435,13766.22055,14362.53615,14972.30958,15609.9089,16329.77865,17055.40967,17702.64706,17599.23248,18577.41935
